open_issues,bugs,security_issues,open_prs,recent_commits,risk_score,risk_level
115,16,6,70,24,418.2,High
44,3,3,69,30,192.3,Medium
18,11,5,38,26,203.4,Medium
73,18,6,66,44,349.8,High
12,17,3,57,19,233.1,Medium
91,7,4,38,0,280.2,High
2,12,3,61,48,162.3,Medium
24,23,0,37,5,216.3,Medium
57,11,4,31,44,200.09999999999997,Medium
60,14,4,79,20,322.5,High
74,4,3,18,19,171.0,Medium
56,17,6,48,13,333.59999999999997,High
14,0,4,53,2,165.9,Medium
15,22,0,74,11,247.8,Medium
73,15,7,75,23,388.5,High
27,20,7,35,25,300.9,High
7,17,3,40,35,182.4,Medium
63,21,6,16,8,324.0,High
32,20,3,76,27,294.0,High
111,12,5,34,5,340.2,High
81,18,7,68,46,378.0,High
24,1,1,55,29,100.50000000000001,Low
113,12,4,32,0,327.6,High
17,14,0,10,20,95.4,Low
25,24,5,58,26,319.8,High
48,12,0,0,20,105.6,Low
111,22,5,68,30,421.2,High
4,5,2,52,22,122.4,Medium
100,20,4,73,9,410.7,High
82,16,4,77,8,372.29999999999995,High
109,0,2,44,12,218.39999999999998,Medium
3,0,0,31,33,10.5,Low
91,7,6,25,33,257.09999999999997,High
53,21,2,49,11,285.90000000000003,High
64,21,3,4,29,228.0,Medium
93,24,0,46,22,298.20000000000005,High
78,4,4,13,1,207.9,Medium
74,18,6,37,33,320.7,High
37,17,1,29,14,191.1,Medium
90,18,6,51,37,356.1,High
96,23,6,29,41,355.5,High
50,16,4,28,3,266.4,High
9,23,0,73,16,239.10000000000002,Medium
83,23,4,33,5,353.1,High
52,1,4,42,47,147.0,Medium
74,18,6,22,15,319.8,High
94,10,5,15,7,276.90000000000003,High
3,7,3,55,24,153.3,Medium
66,2,2,31,49,114.89999999999999,Low
60,18,2,20,4,241.2,Medium
81,9,4,21,20,230.7,Medium
69,0,4,11,25,141.3,Medium
45,1,0,77,25,145.5,Medium
44,8,1,46,21,162.60000000000002,Medium
110,23,5,62,47,396.6,High
60,16,1,35,0,238.5,Medium
7,16,2,51,14,200.1,Medium
46,23,5,13,25,272.7,High
27,22,5,1,44,203.10000000000002,Medium
25,13,2,55,6,219.3,Medium
2,14,6,17,37,175.5,Medium
98,18,6,63,24,399.3,High
118,4,3,73,38,283.5,High
56,16,6,43,24,306.9,High
16,12,3,24,3,177.6,Medium
9,2,0,17,46,0.0,Low
99,14,5,33,46,287.1,High
7,7,0,41,40,63.900000000000006,Low
100,5,3,25,33,201.9,Medium
58,23,2,69,36,303.90000000000003,High
32,20,5,20,5,272.4,High
69,22,7,3,29,310.5,High
74,23,6,8,2,344.40000000000003,High
114,7,4,35,23,275.69999999999993,High
94,5,1,74,3,268.2,High
78,5,5,50,1,287.40000000000003,High
78,10,7,25,44,264.3,High
43,4,5,25,3,199.5,Medium
18,19,0,19,48,106.5,Low
11,14,0,13,37,72.30000000000001,Low
36,10,6,76,42,274.8,High
2,0,5,49,9,155.1,Medium
4,22,1,43,1,218.10000000000002,Medium
12,7,1,64,36,127.20000000000002,Medium
72,16,0,74,14,276.59999999999997,High
23,5,6,34,29,181.8,Medium
94,16,4,61,43,320.7,High
49,13,4,74,8,310.2,High
33,11,2,34,0,192.6,Medium
39,21,3,63,28,287.7,High
71,10,0,13,29,129.89999999999998,Medium
34,20,4,4,18,217.20000000000002,Medium
77,3,0,41,24,143.09999999999997,Medium
17,7,7,38,39,198.60000000000002,Medium
13,18,4,37,32,212.7,Medium
22,14,0,24,16,127.2,Medium
96,14,6,65,13,389.09999999999997,High
52,7,7,50,38,259.79999999999995,High
50,5,5,66,6,271.8,High
50,7,1,63,14,197.7,Medium
110,0,3,26,35,183.0,Medium
28,5,0,26,32,64.19999999999999,Low
67,21,1,9,4,233.09999999999997,Medium
73,0,5,37,12,218.7,Medium
30,14,3,51,14,233.7,Medium
28,7,4,28,46,134.4,Medium
67,11,4,1,26,188.7,Medium
94,18,2,35,35,267.3,High
25,10,2,68,19,205.2,Medium
10,9,7,37,5,241.5,Medium
71,22,6,45,42,342.3,High
11,12,7,61,17,282.3,High
88,0,6,59,42,251.70000000000002,High
75,11,3,67,4,305.7,High
119,4,7,30,8,328.19999999999993,High
117,18,4,77,39,389.09999999999997,High
40,21,2,22,0,243.0,Medium
45,4,4,35,22,176.1,Medium
56,0,6,53,39,207.89999999999998,Medium
14,20,6,72,8,343.2,High
73,19,0,25,40,191.1,Medium
34,19,0,74,37,221.4,Medium
1,6,1,33,26,73.5,Low
16,10,2,50,23,162.6,Medium
24,6,3,69,23,194.70000000000002,Medium
32,16,4,62,42,248.99999999999997,Medium
21,17,4,48,6,264.0,High
80,19,0,48,19,259.2,High
117,21,3,62,39,366.59999999999997,High
48,6,0,12,29,76.8,Low
86,18,2,55,18,308.09999999999997,High
61,16,4,29,15,266.7,High
39,18,1,0,13,157.20000000000002,Medium
114,14,1,65,27,303.9,High
112,17,5,37,3,378.29999999999995,High
0,7,4,54,38,149.4,Medium
2,9,1,33,32,85.5,Low
86,22,3,31,49,276.9,High
6,7,0,56,2,130.79999999999998,Medium
87,22,2,71,46,323.7,High
100,2,2,7,33,138.9,Medium
34,23,5,31,45,261.3,High
106,15,3,36,20,301.2,High
13,22,7,6,9,271.8,High
6,0,6,18,47,85.79999999999998,Low
18,3,4,59,17,179.7,Medium
1,0,6,68,19,188.39999999999998,Medium
10,9,6,1,2,173.1,Medium
86,22,3,19,4,312.9,High
36,5,7,8,33,171.6,Medium
52,11,2,23,16,179.70000000000002,Medium
73,23,2,13,8,271.5,High
39,1,4,24,38,115.20000000000002,Low
72,21,5,3,25,276.9,High
57,12,1,36,10,200.39999999999998,Medium
69,17,7,41,35,330.3,High
40,5,1,16,36,76.80000000000001,Low
24,5,1,75,22,162.9,Medium
116,9,5,26,30,286.2,High
5,7,1,11,44,29.700000000000003,Low
52,6,1,44,16,163.20000000000002,Medium
25,20,3,61,45,241.5,Medium
63,1,3,53,42,164.7,Medium
64,18,4,35,25,279.3,High
28,20,2,39,10,236.1,Medium
35,16,2,38,39,184.2,Medium
98,21,1,54,46,287.40000000000003,High
23,21,5,68,32,307.20000000000005,High
35,14,3,61,44,218.7,Medium
106,1,0,25,1,169.5,Medium
116,8,0,39,16,226.5,Medium
0,24,4,42,39,232.2,Medium
41,24,6,34,2,349.8,High
113,4,3,43,29,243.3,Medium
101,1,3,18,36,165.0,Medium
43,16,4,16,9,232.79999999999998,Medium
56,22,0,46,11,255.0,High
61,15,7,7,30,263.7,High
20,16,6,79,5,340.5,High
71,24,1,11,14,246.89999999999998,Medium
58,8,4,25,46,171.9,Medium
31,9,7,70,16,303.0,High
22,20,5,6,13,229.8,Medium
78,20,6,8,47,277.20000000000005,High
71,17,2,38,34,239.39999999999998,Medium
17,9,6,16,13,190.8,Medium
30,23,2,59,44,245.7,Medium
97,2,4,42,39,216.59999999999997,Medium
89,22,6,38,14,387.0,High
119,16,3,24,12,314.4,High
81,0,7,41,43,233.1,Medium
65,22,2,41,33,267.9,High
29,22,4,12,17,236.4,Medium
31,2,2,38,45,88.19999999999999,Low
115,16,4,61,43,345.9,High
56,15,7,9,29,261.9,High
24,6,3,4,0,124.8,Medium
93,16,2,44,13,294.0,High
119,17,3,17,36,281.09999999999997,High
24,15,0,52,45,142.8,Medium
78,8,6,48,23,294.0,High
67,11,2,36,36,193.2,Medium
42,5,6,55,45,216.89999999999998,Medium
87,10,5,76,33,328.79999999999995,High
24,6,3,3,7,114.89999999999999,Low
19,21,4,73,42,279.90000000000003,High
97,24,1,40,48,280.79999999999995,High
2,23,5,4,4,231.6,Medium
53,14,6,48,8,318.0,High
98,19,1,60,41,290.40000000000003,High
34,17,1,61,16,233.10000000000002,Medium
87,2,7,12,46,205.2,Medium
88,8,3,13,36,183.9,Medium
97,10,0,55,2,256.5,High
91,8,2,24,33,189.6,Medium
75,9,0,78,39,214.2,Medium
24,4,2,58,33,136.20000000000002,Medium
87,14,5,71,4,380.09999999999997,High
47,17,5,36,47,245.99999999999997,Medium
76,4,4,39,44,192.89999999999998,Medium
95,18,1,66,39,292.2,High
97,7,2,76,44,255.59999999999997,High
32,5,7,18,15,203.4,Medium
39,0,2,58,47,113.4,Low
40,12,2,44,24,193.2,Medium
52,9,3,62,26,232.2,Medium
37,6,4,44,30,182.4,Medium
22,9,1,31,42,94.5,Low
52,6,6,1,13,192.3,Medium
76,11,6,65,31,325.5,High
12,13,2,16,39,105.60000000000001,Low
94,1,3,63,23,239.70000000000002,Medium
108,2,7,69,18,349.5,High
29,6,1,62,27,149.4,Medium
59,14,5,36,28,265.2,High
21,3,3,67,26,166.5,Medium
63,16,3,21,16,237.90000000000003,Medium
9,21,0,21,25,138.3,Medium
119,17,1,13,46,227.09999999999997,Medium
28,11,3,51,11,216.9,Medium
6,10,0,5,46,19.500000000000007,Low
78,18,2,57,22,296.70000000000005,High
25,1,5,28,3,164.4,Medium
80,2,4,38,14,220.2,Medium
118,10,3,31,1,300.90000000000003,High
46,13,3,21,10,206.7,Medium
26,2,0,55,27,93.30000000000001,Low
92,20,6,79,36,413.7,High
58,19,5,18,4,295.8,High
2,0,1,37,14,59.10000000000001,Low
33,2,7,24,23,186.0,Medium
11,17,6,79,26,310.5,High
71,13,0,16,28,153.6,Medium
52,7,6,26,45,197.4,Medium
49,19,6,2,28,250.20000000000002,High
63,11,4,23,2,245.7,Medium
19,13,6,24,29,210.0,Medium
77,6,0,8,37,95.99999999999997,Low
47,24,3,62,21,322.2,High
117,20,4,1,23,306.29999999999995,High
71,10,7,76,16,366.0,High
71,20,1,63,17,297.3,High
109,14,6,37,31,341.09999999999997,High
10,12,0,32,37,87.6,Low
40,7,2,50,23,173.4,Medium
40,16,3,45,31,228.3,Medium
78,15,5,19,32,263.70000000000005,High
73,7,7,1,32,218.70000000000002,Medium
32,8,4,29,32,163.5,Medium
76,19,1,21,38,209.1,Medium
65,5,6,45,49,224.7,Medium
14,1,1,43,48,47.7,Low
103,10,4,66,5,348.6,High
8,5,0,31,40,38.099999999999994,Low
113,11,7,71,49,375.3,High
91,19,5,6,10,310.2,High
83,15,3,5,21,225.9,Medium
25,2,6,40,41,160.8,Medium
13,10,1,11,22,83.69999999999999,Low
11,12,0,44,18,129.6,Medium
54,13,3,44,7,254.4,High
92,22,4,54,31,358.2,High
50,11,1,69,17,227.1,Medium
82,21,4,55,40,330.9,High
58,2,3,73,34,204.3,Medium
60,21,6,78,32,384.6,High
6,11,0,30,23,90.60000000000001,Low
19,4,3,19,23,101.70000000000002,Low
49,16,2,35,33,203.70000000000002,Medium
99,1,6,33,35,240.3,Medium
5,6,1,57,11,132.3,Medium
2,12,1,39,20,126.9,Medium
14,0,2,25,7,81.89999999999999,Low
99,15,5,41,43,308.7,High
13,13,1,36,4,160.79999999999998,Medium
37,12,0,61,46,152.70000000000002,Medium
13,23,6,1,38,217.50000000000003,Medium
69,16,2,27,1,254.10000000000002,High
34,4,4,64,39,186.0,Medium
75,23,3,44,22,321.6,High
46,10,1,66,13,216.6,Medium
79,9,4,9,11,221.10000000000002,Medium
93,8,0,4,19,142.79999999999998,Medium
7,10,3,0,19,99.60000000000001,Low
27,24,2,36,46,211.2,Medium
100,11,4,48,48,272.4,High
119,11,7,27,46,320.09999999999997,High
78,5,3,60,19,244.8,Medium
113,13,1,72,36,296.40000000000003,High
19,0,6,34,5,175.8,Medium
100,20,2,68,32,339.6,High
112,18,5,11,41,299.7,High
19,20,1,42,33,184.20000000000002,Medium
88,17,4,56,38,318.0,High
94,23,6,42,49,363.0,High
22,11,5,22,44,162.60000000000002,Medium
51,15,1,7,49,120.89999999999999,Medium
84,0,6,7,28,185.70000000000002,Medium
95,5,4,46,33,245.4,Medium
64,22,6,42,9,369.0,High
29,17,1,16,25,148.8,Medium
7,14,7,75,26,299.7,High
71,24,5,67,32,381.3,High
0,18,6,79,13,318.9,High
52,15,4,61,27,283.5,High
65,17,7,69,8,399.9,High
32,8,0,47,12,142.5,Medium
72,20,4,30,40,275.4,High
74,3,1,3,37,84.9,Low
18,5,1,12,40,39.599999999999994,Low
22,18,4,74,0,317.4,High
87,21,6,14,0,359.4,High
75,6,6,20,18,242.4,Medium
59,24,0,48,31,249.60000000000002,Medium
112,2,3,10,34,174.60000000000002,Medium
71,13,5,73,1,361.5,High
45,8,2,25,7,167.1,Medium
47,1,5,27,28,159.3,Medium
25,24,3,4,33,194.4,Medium
47,4,6,43,35,210.9,Medium
14,10,7,69,45,252.3,High
113,11,2,42,44,247.8,Medium
20,22,2,79,46,255.3,High
116,14,0,35,10,263.7,High
50,14,3,20,12,213.6,Medium
85,18,1,77,3,339.9,High
111,20,3,26,28,312.59999999999997,High
110,2,7,15,41,243.3,Medium
35,17,1,48,12,219.6,Medium
3,24,5,74,6,341.40000000000003,High
94,11,1,38,12,239.4,Medium
30,6,6,55,48,204.9,Medium
41,9,7,35,19,258.9,High
67,21,6,53,0,393.9,High
43,23,4,46,12,316.20000000000005,High
118,21,5,20,21,362.40000000000003,High
91,8,1,8,14,170.39999999999998,Medium
9,23,1,41,7,219.9,Medium
23,15,0,25,26,123.89999999999999,Medium
36,3,1,23,18,92.1,Low
99,6,1,17,18,176.70000000000002,Medium
35,9,0,54,49,118.2,Low
68,14,0,32,20,189.6,Medium
80,21,7,36,14,385.2,High
34,6,7,10,9,207.0,Medium
72,13,4,56,24,291.59999999999997,High
1,2,6,17,2,144.29999999999998,Medium
41,21,4,38,40,256.2,High
112,10,6,23,45,282.9,High
18,3,1,41,31,81.9,Low
38,12,5,35,39,213.3,Medium
100,0,3,2,8,167.4,Medium
7,0,2,69,40,99.9,Low
102,3,4,48,1,283.2,High
59,4,3,26,31,150.60000000000002,Medium
20,7,5,71,49,203.7,Medium
66,21,3,57,2,342.3,High
85,5,1,43,1,213.3,Medium
101,16,2,29,7,288.3,High
21,11,1,35,4,156.89999999999998,Medium
76,14,0,54,15,238.2,Medium
105,24,6,15,11,387.3,High
16,15,3,7,19,150.89999999999998,Medium
2,15,5,22,27,183.0,Medium
114,7,5,4,19,251.99999999999994,High
103,23,3,64,29,376.8,High
20,19,5,21,17,239.1,Medium
71,6,7,32,15,277.2,High
75,5,3,13,35,151.5,Medium
96,22,1,65,40,314.7,High
84,1,2,72,0,250.8,High
74,2,3,61,22,219.9,Medium
25,3,1,54,5,141.0,Medium
34,21,2,14,21,198.60000000000002,Medium
59,4,3,11,46,110.10000000000002,Low
48,9,5,44,34,226.8,Medium
29,23,1,29,13,218.70000000000002,Medium
5,2,7,6,13,137.4,Medium
72,14,4,34,1,292.2,High
90,1,2,77,19,242.7,Medium
81,9,0,65,24,219.89999999999998,Medium
53,0,3,13,0,137.1,Medium
109,15,5,51,2,384.9,High
98,8,5,24,12,277.20000000000005,High
116,1,7,20,33,261.59999999999997,High
67,24,6,67,44,380.09999999999997,High
59,11,7,12,30,244.8,Medium
77,19,1,59,5,306.9,High
31,10,5,1,22,162.29999999999998,Medium
82,18,4,33,9,317.09999999999997,High
88,1,5,10,49,157.8,Medium
30,23,6,72,22,363.6,High
82,8,2,20,8,202.79999999999998,Medium
27,13,2,6,15,137.4,Medium
15,0,3,3,38,30.9,Low
39,16,4,51,28,257.7,High
51,3,3,37,38,143.1,Medium
49,4,3,62,34,189.0,Medium
6,21,5,70,36,285.0,High
85,4,5,54,1,295.8,High
61,20,5,78,20,376.2,High
9,22,1,38,4,213.0,Medium
64,12,4,52,17,278.40000000000003,High
100,12,7,35,16,351.3,High
98,16,3,10,20,258.6,High
51,22,4,25,3,299.09999999999997,High
33,19,7,51,28,322.5,High
37,9,4,41,12,217.5,Medium
112,8,7,16,8,322.79999999999995,High
40,0,1,59,47,98.1,Low
28,0,1,57,39,90.3,Low
20,10,6,33,7,233.1,Medium
58,21,7,48,14,376.8,High
16,22,7,44,18,321.59999999999997,High
68,11,0,7,12,143.7,Medium
71,24,6,42,0,400.2,High
108,18,7,23,16,378.90000000000003,High
4,19,4,57,30,240.3,Medium
109,3,2,51,14,244.49999999999994,Medium
82,6,2,27,42,160.49999999999997,Medium
57,4,4,7,9,164.09999999999997,Medium
37,14,7,7,39,218.09999999999997,Medium
24,8,1,78,49,153.0,Medium
66,16,3,67,13,314.09999999999997,High
104,8,0,61,49,205.5,Medium
9,20,3,11,26,170.10000000000002,Medium
103,1,5,12,31,200.4,Medium
94,15,7,31,33,335.7,High
10,9,6,16,39,151.2,Medium
17,22,0,24,39,141.60000000000002,Medium
58,13,3,21,29,198.3,Medium
83,20,3,31,45,266.1,High
112,23,4,31,29,356.09999999999997,High
118,6,0,11,40,146.1,Medium
46,17,4,12,20,223.2,Medium
7,13,7,6,22,195.0,Medium
107,10,7,21,42,295.5,High
88,21,3,28,12,313.20000000000005,High
81,1,4,78,26,261.0,High
49,14,2,22,23,184.20000000000002,Medium
43,12,5,42,36,233.40000000000003,Medium
60,0,7,2,18,179.4,Medium
22,6,3,24,36,109.20000000000002,Low
110,7,1,57,15,259.5,High
71,0,3,4,2,142.79999999999998,Medium
64,3,7,63,41,266.1,High
97,10,0,9,20,165.89999999999998,Medium
45,6,2,26,1,163.8,Medium
40,15,4,8,35,180.0,Medium
85,9,1,57,11,246.3,Medium
80,13,5,33,19,290.7,High
74,15,2,69,18,296.7,High
100,3,6,3,19,227.7,Medium
9,23,5,25,36,233.10000000000002,Medium
101,20,5,20,9,350.4,High
37,13,3,59,44,212.09999999999997,Medium
19,16,6,70,3,328.2,High
92,13,2,79,3,339.29999999999995,High
119,23,1,29,17,321.9,High
18,18,0,62,45,168.6,Medium
82,21,7,75,29,428.09999999999997,High
57,5,4,30,35,173.39999999999998,Medium
63,18,7,44,35,333.6,High
93,22,0,54,32,286.20000000000005,High
17,19,0,46,10,191.4,Medium
56,21,4,32,16,294.0,High
69,3,3,46,26,192.60000000000002,Medium
14,5,6,77,10,258.3,High
102,8,1,15,4,206.09999999999997,Medium
115,9,1,2,12,198.6,Medium
106,16,5,69,16,397.5,High
108,18,4,18,41,287.40000000000003,High
34,13,1,68,28,205.20000000000002,Medium
63,4,3,48,20,201.6,Medium
73,4,3,69,25,239.10000000000002,Medium
3,6,6,34,0,198.6,Medium
23,24,3,69,40,281.1,High
53,13,3,59,30,248.10000000000002,Medium
83,23,0,35,20,266.1,High
29,23,3,29,21,245.10000000000002,Medium
91,6,2,54,27,229.79999999999998,Medium
13,23,1,79,15,272.1,High
53,9,0,76,5,225.6,Medium
43,8,4,55,42,203.7,Medium
83,17,1,56,20,279.6,High
67,17,0,6,5,185.39999999999998,Medium
14,17,7,74,19,333.0,High
87,14,7,70,20,395.4,High
41,11,7,13,36,217.5,Medium
57,20,1,68,2,306.0,High
86,4,7,48,18,303.59999999999997,High
114,24,4,11,40,321.29999999999995,High
32,17,4,67,41,263.7,High
70,21,6,32,16,346.8,High
23,1,3,57,42,122.69999999999999,Medium
40,6,5,48,16,226.8,Medium
97,5,5,69,33,300.29999999999995,High
64,9,4,4,1,207.60000000000002,Medium
21,15,0,65,9,201.89999999999998,Medium
97,15,7,50,38,361.79999999999995,High
85,11,7,39,37,308.1,High
59,9,2,63,48,197.70000000000002,Medium
63,6,4,19,25,182.1,Medium
67,13,3,14,39,186.59999999999997,Medium
84,14,5,13,26,263.1,High
104,7,1,27,25,195.3,Medium
112,1,0,2,7,135.0,Medium
43,0,1,5,38,31.499999999999993,Low
51,22,0,49,42,216.29999999999998,Medium
18,4,2,10,11,83.39999999999999,Low
73,7,7,40,35,273.6,High
100,20,7,54,8,437.4,High
46,14,7,41,19,303.9,High
69,11,1,6,15,157.8,Medium
2,12,2,26,49,90.60000000000001,Low
106,7,5,32,27,274.8,High
0,22,7,7,36,225.3,Medium
31,15,2,3,29,132.89999999999998,Medium
69,13,5,18,31,240.60000000000002,Medium
8,11,2,45,15,161.1,Medium
0,12,6,20,29,175.2,Medium
12,1,3,27,37,70.5,Low
94,22,7,26,4,405.0,High
24,2,0,67,24,112.50000000000001,Low
19,1,1,4,34,12.0,Low
60,8,3,49,5,241.5,Medium
82,11,0,10,1,178.2,Medium
46,11,3,72,20,259.2,High
87,1,5,2,11,190.2,Medium
91,15,4,27,25,281.7,High
61,0,4,34,33,156.6,Medium
40,18,6,57,10,337.5,High
56,22,7,21,16,337.5,High
68,11,2,14,26,173.4,Medium
34,0,3,15,33,77.69999999999999,Low
65,2,7,27,46,201.3,Medium
38,5,0,19,0,104.1,Low
71,22,6,62,2,415.8,High
3,24,6,37,14,294.3,High
62,20,2,56,45,260.4,High
115,13,3,75,16,363.3,High
38,8,2,76,14,226.79999999999998,Medium
81,18,0,5,26,181.5,Medium
22,1,7,45,37,181.5,Medium
13,3,4,71,34,171.3,Medium
18,13,2,24,39,124.8,Medium
87,13,1,21,47,175.49999999999997,Medium
82,13,2,2,41,166.2,Medium
18,8,3,44,6,182.4,Medium
77,8,2,18,46,148.2,Medium
115,13,7,37,35,355.5,High
39,16,5,8,32,206.4,Medium
119,19,0,13,10,264.29999999999995,High
52,2,0,58,13,145.8,Medium
93,8,3,67,27,281.70000000000005,High
7,1,0,40,15,56.400000000000006,Low
92,16,7,29,11,362.7,High
34,10,7,49,20,276.3,High
20,4,7,19,36,159.3,Medium
66,11,0,72,8,243.6,Medium
67,2,0,64,7,179.99999999999997,Medium
44,22,6,39,11,338.1,High
53,11,5,46,14,271.8,High
104,18,1,51,28,293.7,High
21,7,4,50,37,169.79999999999998,Medium
19,24,4,50,3,310.2,High
54,6,3,27,3,191.70000000000002,Medium
21,11,4,66,21,237.0,Medium
107,1,7,33,26,278.7,High
54,8,0,71,22,192.9,Medium
37,5,5,24,17,180.0,Medium
16,11,5,26,7,205.79999999999998,Medium
82,9,0,56,28,202.79999999999998,Medium
108,16,2,39,13,304.5,High
34,15,4,55,48,227.70000000000002,Medium
12,5,0,45,48,54.30000000000001,Low
61,7,2,19,32,141.29999999999998,Medium
89,6,4,48,41,237.60000000000002,Medium
106,21,5,8,23,327.59999999999997,High
36,16,0,16,23,135.6,Medium
20,18,2,38,40,177.0,Medium
38,12,7,10,45,204.60000000000002,Medium
18,10,4,45,44,168.3,Medium
0,7,3,18,11,109.8,Low
71,7,4,11,47,159.29999999999998,Medium
32,12,1,68,7,222.0,Medium
24,13,6,29,44,205.5,Medium
46,22,0,46,19,233.39999999999998,Medium
81,17,1,67,29,282.9,High
32,3,1,18,46,46.20000000000001,Low
27,7,3,75,14,224.1,Medium
40,6,1,62,28,161.4,Medium
104,9,1,50,10,259.8,High
76,9,5,50,8,300.59999999999997,High
38,2,3,69,26,183.9,Medium
116,1,4,37,2,270.3,High
